frame,psnr,psnr_ideal,original_bits,compressed_bits,compression_ratio,bitrate_kbps,num_packets,received_packets
0,30.189896,30.189896,811008,35475,22.86139534883721,4257.0,18,18
1,14.024668,30.23793,811008,35672,22.735142408611797,4280.64,18,17
2,12.705049,30.1229,811008,35849,22.62289045719546,4301.88,18,17
3,18.400791,30.17707,811008,35945,22.562470440951454,4313.4,18,18
4,15.484274,30.086573,811008,35994,22.53175529254876,4319.28,18,17
5,14.658223,30.22671,811008,35799,22.654487555518312,4295.88,18,18
6,14.726416,30.307251,811008,35943,22.56372589934062,4313.16,18,17
7,14.279362,30.262537,811008,35852,22.6209974338949,4302.24,18,17
8,13.982602,30.245434,811008,35767,22.67475606005536,4292.04,18,18
9,12.854252,30.110046,811008,35956,22.555567916342195,4314.72,18,18
10,13.191606,30.254831,811008,35790,22.660184409052807,4294.8,18,18
11,12.659981,30.517216,811008,35910,22.584461152882206,4309.2,18,18
12,13.269669,30.359877,811008,35885,22.600195067576983,4306.2,18,18
13,19.864014,30.598778,811008,35819,22.641838130601077,4298.28,18,17
14,16.435734,30.648739,811008,35893,22.59515783021759,4307.16,18,18
15,12.901693,30.809488,811008,35685,22.72686002522068,4282.2,18,18
16,12.914538,30.97059,811008,35907,22.586348065836745,4308.84,18,17
17,16.421844,30.999506,811008,35841,22.627940068636477,4300.92,18,18
18,15.504742,31.032635,811008,35914,22.581945759313918,4309.68,18,18
19,14.104924,31.124212,811008,35848,22.62352153537157,4301.76,18,17
20,17.166016,31.347017,811008,35873,22.607755136174838,4304.76,18,18
21,14.436832,31.278358,811008,35816,22.643734643734643,4297.92,18,18
22,13.836802,31.454031,811008,35872,22.608385370205173,4304.64,18,18
23,17.226383,31.261637,811008,35845,22.625414981168923,4301.4,18,18
24,17.775831,31.295565,811008,35897,22.592640053486363,4307.64,18,18
25,13.417282,31.199343,811008,35920,22.57817371937639,4310.4,18,18
26,14.056605,31.160345,811008,35925,22.575031315240082,4311.0,18,18
27,15.261158,31.145184,811008,35953,22.557450004172114,4314.36,18,18
28,30.79419,31.092304,811008,36037,22.504869994727642,4324.44,18,18
29,29.558044,31.183424,811008,35882,22.602084610668303,4305.84,18,18
30,14.174818,31.086506,811008,36049,22.49737856806014,4325.88,18,17
31,14.345609,31.114983,811008,36083,22.476179918521186,4329.96,18,18
32,18.007015,31.227758,811008,36017,22.51736679901158,4322.04,18,18
33,13.386034,31.150146,811008,36059,22.491139521340028,4327.08,18,18
34,15.127273,31.11713,811008,36118,22.454399468409104,4334.16,18,18
35,17.270945,31.043835,811008,36025,22.51236641221374,4323.0,18,17
36,13.836299,30.946283,811008,36135,22.443835616438356,4336.2,18,18
37,14.281719,30.901836,811008,36204,22.401060656281075,4344.48,18,18
38,19.39592,30.842705,811008,36244,22.376338152521797,4349.28,18,18
39,13.259775,30.838875,811008,36162,22.427078148332505,4339.44,18,17
40,15.084667,30.853928,811008,36339,22.3178403368282,4360.68,18,18
41,14.485357,30.903547,811008,36306,22.338125929598412,4356.72,18,18
42,14.553593,30.89884,811008,36245,22.375720789074354,4349.4,18,18
43,17.319847,30.93031,811008,36400,22.28043956043956,4368.0,18,18
44,13.217269,30.896671,811008,36327,22.325212651746636,4359.24,18,18
45,13.769565,30.984413,811008,36326,22.325827231184277,4359.12,18,18
46,17.402927,31.06435,811008,36277,22.355983129806766,4353.24,18,17
47,13.248713,31.088928,811008,36381,22.292075533932547,4365.72,18,18
48,20.004818,31.023539,811008,36451,22.249266138103206,4374.12,18,17
49,15.103997,30.94564,811008,36389,22.287174695649785,4366.68,18,18
50,13.520895,30.777748,811008,36580,22.170803717878623,4389.6,18,18
51,12.53336,30.949001,811008,36397,22.282276011759212,4367.64,18,18
52,14.317082,31.031666,811008,36419,22.268815728054037,4370.28,18,18
53,13.573896,31.104918,811008,36439,22.25659321057109,4372.68,18,18
54,13.744032,31.148674,811008,36349,22.311700459434924,4361.88,18,18
55,12.975269,31.154247,811008,36441,22.255371696715237,4372.92,18,18
56,13.927372,31.106297,811008,36307,22.337510672872998,4356.84,18,16
57,13.0093975,31.042625,811008,36419,22.268815728054037,4370.28,18,17
58,17.424034,31.087135,811008,36178,22.417159599756758,4341.36,18,17
59,18.37106,30.997787,811008,36398,22.28166382768284,4367.76,18,18
60,12.64106,31.142803,811008,36307,22.337510672872998,4356.84,18,18
61,13.287902,31.20206,811008,36323,22.327671172535307,4358.76,18,16
62,13.413115,31.170563,811008,36345,22.314156004952537,4361.4,18,16
63,31.156347,31.156347,811008,36411,22.27370849468567,4369.32,18,18
64,14.114088,31.116066,811008,36382,22.291462811280304,4365.84,18,18
65,12.165539,30.991861,811008,36412,22.273096781280895,4369.44,18,18
66,24.806232,31.018372,811008,36500,22.219397260273972,4380.0,18,18
67,15.499086,30.89162,811008,36414,22.27187345526446,4369.68,18,18
68,18.620058,30.942266,811008,36499,22.2200060275624,4379.88,18,18
69,14.588215,30.730154,811008,36527,22.202973143154377,4383.24,18,18
70,18.285187,30.793156,811008,36522,22.206012814194185,4382.64,18,18
71,14.146116,30.784006,811008,36470,22.23767480120647,4376.4,18,18
72,13.0455,30.806189,811008,36497,22.22122366221881,4379.64,18,17
73,15.720808,30.84393,811008,36417,22.27003871818107,4370.04,18,17
74,15.603632,30.775192,811008,36603,22.15687238750922,4392.36,18,18
75,15.135231,30.787891,811008,36425,22.265147563486618,4371.0,18,18
76,18.307627,30.682793,811008,36636,22.13691451031772,4396.32,18,18
77,12.68538,30.698988,811008,36738,22.075453209211172,4408.56,18,17
78,13.66184,30.686317,811008,36633,22.138727376955206,4395.96,18,18
79,14.814474,30.797054,811008,36777,22.05204339668815,4413.24,18,18
80,14.3306265,30.795631,811008,36721,22.085673048119606,4406.52,18,18
81,12.578855,30.85109,811008,36741,22.07365068996489,4408.92,18,17
82,13.589357,30.768341,811008,36640,22.134497816593885,4396.8,18,18
83,14.322575,30.96035,811008,36740,22.07425149700599,4408.8,18,17
84,13.453933,30.967463,811008,36654,22.12604354231462,4398.48,18,18
85,16.057201,31.023266,811008,36804,22.03586566677535,4416.48,18,18
86,18.160559,31.007488,811008,36656,22.124836316019206,4398.72,18,18
87,12.962172,31.141155,811008,36911,21.971986670640188,4429.32,19,19
88,13.212289,31.065815,811008,36772,22.055041879691068,4412.64,18,18
89,20.419842,31.023777,811008,36847,22.010150080060793,4421.64,18,18
90,13.422717,30.910706,811008,36836,22.016722771202083,4420.32,18,17
91,14.224232,30.96776,811008,36832,22.019113814074718,4419.84,18,18
92,13.93559,30.966146,811008,36791,22.043651980103828,4414.92,18,18
93,16.44847,30.90968,811008,36872,21.99522673031026,4424.64,19,19
94,13.766681,30.873264,811008,36797,22.040057613392396,4415.64,18,18
95,13.615207,30.974934,811008,36969,21.937515215450784,4436.28,19,19
96,13.9694605,30.894127,811008,36866,21.99880648836326,4423.92,19,19
97,16.75392,30.883774,811008,37054,21.88719166621687,4446.48,19,19
98,12.376623,30.712349,811008,36990,21.925060827250608,4438.8,19,18
99,13.636831,30.662712,811008,36996,21.921505027570547,4439.52,19,19
